CountryCode,Religion
ALB,Christianity
ARM,Christianity
AUS,Christianity
ARE,Islam
AUT,Christianity
ARG,Christianity
AZE,Islam
BHS,Christianity
BEL,Christianity
BHR,Islam
BGR,Christianity
BRB,Christianity
BLR,Christianity
BLZ,Christianity
BRA,Christianity
BIH,Islam
BRN,Islam
CPV,Christianity
CAN,Christianity
CHL,Christianity
COL,Christianity
CHE,Christianity
CRI,Christianity
HRV,Christianity
CYP,Christianity
CZE,Christianity
DNK,Christianity
DOM,Christianity
DEU,Christianity
ECU,Christianity
CUB,Christianity
EGY,Islam
EST,Christianity
FJI,Christianity
FIN,Christianity
FRA,Christianity
GEO,Christianity
GRC,Christianity
ESP,Christianity
GTM,Christianity
GUY,Christianity
HKG,Buddhism
HUN,Christianity
GBR,Christianity
ISL,Christianity
IRN,Islam
IRQ,Islam
IRL,Christianity
ISR,Judaism
ITA,Christianity
JAM,Christianity
JPN,Buddhism
KAZ,Islam
KOR,Christianity
KWT,Islam
KGZ,Islam
LVA,Christianity
LTU,Christianity
LUX,Christianity
MDV,Islam
MLT,Christianity
MUS,Islam
MEX,Christianity
MDA,Christianity
JOR,Islam
MNE,Christianity
NLD,Christianity
NZL,Christianity
NIC,Christianity
MKD,Christianity
NOR,Christianity
LBN,Islam
PAN,Christianity
PER,Christianity
LCA,Christianity
LKA,Buddhism
MNG,Buddhism
MYS,Islam
OMN,Islam
PHL,Christianity
POL,Christianity
PRT,Christianity
PRY,Christianity
QAT,Islam
ROU,Christianity
RUS,Christianity
SGP,Buddhism
PRI,Christianity
SLV,Christianity
SRB,Christianity
SUR,Christianity
SVK,Christianity
SVN,Christianity
SWE,Christianity
SYR,Islam
THA,Buddhism
TJK,Islam
TKM,Islam
TTO,Christianity
TUR,Islam
UKR,Christianity
URY,Christianity
USA,Christianity
UZB,Islam
VCT,Christianity
VEN,Christianity
ZAF,Christianity
ATG,Christianity
DMA,Christianity
GRD,Christianity
KNA,Christianity
SYC,Christianity
GUF,Christianity
GLP,Christianity
MTQ,Christianity
MYT,Islam
REU,Christianity